artist_name,track_name,track_id,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
NLE Choppa,100 Shots,1eto1iY3lVWyJhejV6Mi6J,72,0.832,0.591,-7.665,0.408,0.154,2.75E-05,0.297,140.081
Migos,Give No Fxk,6ZelF5APDN5r6XnFqcnvWR,80,0.904,0.627,-5.608,0.222,0.0303,5.68E-06,0.236,145.976
A Boogie Wit da Hoodie,Might Not Give Up (feat. Young Thug),4l2rsMfr20dj6nf6i6F3Y8,78,0.687,0.592,-6.378,0.224,0.203,0,0.246,178.83
Pop Smoke,Dior (with Gunna) - Remix,5R9k9x85lAYbamdUoKAJvj,78,0.73,0.816,-5.402,0.304,0.177,1.23E-05,0.803,142.054
Jhené Aiko,Speak,6ffCTLnwgOBNv09A9UCRl9,69,0.341,0.368,-9.637,0.0311,0.34,0,0.28,89.624
J Balvin,Morado,3mQ6SLdxxaL52Yte7KF2Ks,90,0.881,0.696,-3.838,0.0797,0.137,4.13E-05,0.781,97.002
Daddy Yankee,Que Tire Pa Lante,374NAPCOiQpQRuXXXNgYwp,0,0.658,0.901,-2.814,0.0357,0.0478,0,0.708,93.979
Daddy Yankee,Caliente,6Q5qSao4cdCwtQcPZhh3gz,0,0.801,0.903,-5.058,0.236,0.0484,0,0.957,103.61
Jhené Aiko,None Of Your Concern (feat. Big Sean),75MSZRbAbQuzfUV3Pefvut,68,0.437,0.517,-9.329,0.225,0.856,0,0.373,82.757
Doja Cat,Boss Bitch,78qd8dvwea0Gosb6Fe6j3k,83,0.707,0.955,-4.593,0.222,0.127,0,0.575,125.989
Jhené Aiko,One Way St. (feat. Ab-Soul),00FmWWD8FpB1Ph6nPPw1bC,68,0.384,0.598,-8.216,0.153,0.168,0,0.365,82.455
Jhené Aiko,Tryna Smoke,4CqSF73VXQcpDTXsCy97CV,68,0.644,0.451,-11.079,0.154,0.39,4.17E-05,0.779,149.854
BTS,Filter,0ono6UCNVZ1XqOm6j78Blu,83,0.781,0.762,-5.188,0.0626,0.0222,0,0.86,110.042
Jhené Aiko,10k Hours (feat. Nas),71qTg1coMAqpmwIlVVayoV,68,0.663,0.41,-9.589,0.367,0.885,0.000667,0.324,89.113
